User_ID,Bidang_Usaha,Tahun,Bulan,Pendapatan,Beban_Operasional,Pajak,Laba_Rugi
1,Perdagangan,2015,1,249900595,270975502,26081788,-47156695
1,Perdagangan,2015,2,465968276,153224038,40788921,271955317
1,Perdagangan,2015,3,183120466,269467210,31301898,-117648642
1,Perdagangan,2015,4,409525748,96737383,26249687,286538678
1,Perdagangan,2015,5,161190146,108409749,45959284,6821113
1,Perdagangan,2015,6,457634689,292956829,44574309,120103551
1,Perdagangan,2015,7,53344769,264061375,38657787,-249374393
1,Perdagangan,2015,8,300845460,252968651,14784633,33092176
1,Perdagangan,2015,9,156328085,50349564,48250411,57728110
1,Perdagangan,2015,10,149052376,197077808,44297498,-92322930
1,Perdagangan,2015,11,156777086,82250665,26498555,48027866
1,Perdagangan,2015,12,398192957,171079598,43702013,183411346
1,Perdagangan,2016,1,370721458,52049003,7428388,311244067
1,Perdagangan,2016,2,287544070,215524628,15959014,56060428
1,Perdagangan,2016,3,106972561,291820813,49738553,-234586805
1,Perdagangan,2016,4,284564360,88574553,21845364,174144443
1,Perdagangan,2016,5,304403923,299827822,7669995,-3093894
1,Perdagangan,2016,6,407319431,167697582,11397986,228223863
1,Perdagangan,2016,7,197405005,88979792,42709731,65715482
1,Perdagangan,2016,8,295827121,181156967,28027075,86643079
1,Perdagangan,2016,9,315047041,235417853,24082629,55546559
1,Perdagangan,2016,10,406231733,220619113,27335235,158277385
1,Perdagangan,2016,11,307072949,154489564,8584702,143998683
1,Perdagangan,2016,12,446360081,127944665,13585377,304830039
1,Perdagangan,2017,1,136544585,105157821,25546531,5840233
1,Perdagangan,2017,2,470477197,221323311,49528071,199625815
1,Perdagangan,2017,3,352554573,109482491,39561725,203510357
1,Perdagangan,2017,4,373541287,78743503,29584529,265213255
1,Perdagangan,2017,5,220476398,152862715,49556780,18056903
1,Perdagangan,2017,6,118394024,218743196,27857742,-128206914
1,Perdagangan,2017,7,222945196,87157848,15788678,119998670
1,Perdagangan,2017,8,257882760,115540567,23281600,119060593
1,Perdagangan,2017,9,366606443,206780295,28717335,131108813
1,Perdagangan,2017,10,110472382,192552610,29246560,-111326788
1,Perdagangan,2017,11,368019332,240335593,49891129,77792610
1,Perdagangan,2017,12,221625499,292981039,46542436,-117897976
